Site ID	Agongrat	Agonplac	Agonretr	Agonsord	Agonsupe	Amarlitt	Amarluni	Badiobtu	Bembgrap	Bembrupi	Calaadve	Calaingr	Calofrig	Caracham	Dichcogn	Elapamer	Elaplapp	Harpfulv	Loripili	Miscarct	Nebrgyll	Notibore	Notidire	Patrfove	Patrsept	Platdece	Platmann	Pteradst	Pterbrev	Pterhaem	Pterpens	Pterpunc	Pterripa	Seriquad	Synuimpu	Trecapic	Trecchal
77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00383141762452107	0	0.0114942528735632	0	0.0459770114942529	0	0	0	0	0
78	0	0	0	0	0	0	0	0	0	0	0.00757575757575758	0	0	0.0265151515151515	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00757575757575758	0	0.0795454545454545	0	0.00378787878787879	0	0	0	0	0
79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0189393939393939	0	0.0227272727272727	0	0	0	0	0
80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171673819742489	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0	0.149019607843137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0901960784313725	0	0.0117647058823529	0	0	0	0	0
82	0	0	0	0	0	0	0	0	0	0	0.0549019607843137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00392156862745098	0.00784313725490196	0.125490196078431	0	0.00392156862745098	0	0	0	0	0
83	0	0	0.00862068965517241	0	0	0	0	0	0	0	0.0129310344827586	0.0301724137931034	0	0.0129310344827586	0	0	0	0	0	0	0	0	0	0.00431034482758621	0	0.00431034482758621	0	0.0431034482758621	0.00431034482758621	0.0948275862068965	0	0	0	0	0	0	0.00862068965517241
84	0	0	0	0	0	0	0	0	0	0	0.490421455938697	0.0383141762452107	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0.00383141762452107	0	0.00383141762452107	0.0114942528735632	0.00383141762452107	0.218390804597701	0	0	0	0	0	0	0
85	0	0	0	0	0	0	0	0	0	0	0.104166666666667	0.00347222222222222	0	0.0104166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173611111111111	0	0.197916666666667	0	0.0104166666666667	0	0	0	0	0
86	0	0	0	0	0	0	0	0	0	0	0.0310077519379845	0	0	0.00387596899224806	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00775193798449612	0	0.0968992248062016	0	0.0155038759689922	0	0	0	0	0
87	0	0	0	0	0	0	0	0	0	0	0.146788990825688	0.00917431192660551	0	0.00458715596330275	0	0	0	0	0	0	0	0	0	0	0	0.00458715596330275	0	0.0412844036697248	0	0.215596330275229	0	0	0	0	0	0	0.00458715596330275
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00790513833992095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0395256916996047	0	0.0513833992094862	0	0	0	0	0
89	0	0	0.0268199233716475	0	0	0	0	0	0	0.00383141762452107	0	0.00766283524904215	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114942528735632	0	0.00766283524904215	0	0.0153256704980843	0	0.00383141762452107	0	0	0	0	0.00383141762452107
90	0	0	0	0	0	0	0	0	0	0	0.0268199233716475	0.00766283524904215	0	0.00766283524904215	0	0	0	0	0	0	0	0	0	0	0	0.00766283524904215	0	0.0153256704980843	0.00383141762452107	0.0459770114942529	0	0.0153256704980843	0	0	0	0.00383141762452107	0.00383141762452107
91	0	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00766283524904215	0	0.0153256704980843	0.00383141762452107	0.0114942528735632	0	0.00383141762452107	0	0.0229885057471264	0	0	0	0.00383141762452107	0.0114942528735632
92	0	0	0	0	0	0	0	0	0	0	0.160919540229885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21455938697318	0	0.00383141762452107	0	0	0	0	0
93	0.00423728813559322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127118644067797	0	0.0169491525423729	0	0	0	0	0.00423728813559322
94	0	0	0.00383141762452107	0	0	0	0	0	0	0	0.310344827586207	0.0191570881226054	0	0.0383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0459770114942529	0	0.245210727969349	0	0	0	0	0	0	0
95	0	0	0	0	0	0	0	0	0	0	0.0727969348659004	0	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0.00383141762452107	0	0.0459770114942529	0.00383141762452107	0.118773946360153	0	0.00383141762452107	0	0	0	0	0
96	0	0	0	0	0	0	0	0	0	0	0.0602409638554217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00803212851405622	0	0.072289156626506	0	0.0481927710843374	0	0	0	0	0	0	0
97	0.0138888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347222222222222	0	0	0	0	0.0173611111111111	0	0	0	0	0
98	0	0	0	0	0	0	0	0	0	0	0.0381944444444444	0.0138888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347222222222222	0	0.0381944444444444	0.00347222222222222	0.142361111111111	0	0.00347222222222222	0	0	0	0	0
99	0	0	0	0	0	0	0	0	0	0	0	0.0180995475113122	0	0	0	0	0	0	0.00452488687782805	0	0	0	0	0.0135746606334842	0	0	0	0	0	0.0226244343891403	0	0	0	0	0	0	0.00452488687782805
100	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0.00766283524904215	0	0	0	0	0	0	0	0	0	0	0	0.00383141762452107	0	0.00766283524904215	0	0.0651340996168582	0.0191570881226054	0.153256704980843	0	0.00383141762452107	0	0	0	0	0.00383141762452107
101	0	0	0	0	0	0	0	0	0	0	0.264367816091954	0.0153256704980843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114942528735632	0	0.0727969348659004	0	0	0	0	0	0	0
102	0	0	0	0	0	0	0	0	0	0	0.0498084291187739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00766283524904215	0	0.0727969348659004	0	0.00766283524904215	0	0	0	0	0
103	0	0	0	0	0	0	0	0	0	0	0.00766283524904215	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0421455938697318	0	0.0229885057471264	0	0.00383141762452107	0	0	0
104	0	0	0	0	0	0	0	0	0	0	0.421455938697318	0	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0919540229885057	0.00383141762452107	0.218390804597701	0.00383141762452107	0	0	0	0	0	0.00383141762452107
105	0	0	0	0	0.00383141762452107	0	0	0	0	0	0.222222222222222	0.00766283524904215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191570881226054	0.00383141762452107	0.237547892720307	0.00766283524904215	0	0	0	0	0	0
106	0	0	0	0	0	0	0	0	0	0	0.0842911877394636	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00766283524904215	0	0.0344827586206897	0	0.0804597701149425	0	0	0	0	0	0	0.00766283524904215
107	0	0	0	0	0	0	0	0	0	0	0.0689655172413793	0.0114942528735632	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191570881226054	0	0.0727969348659004	0	0	0	0	0	0	0.00383141762452107
108	0.0229885057471264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191570881226054	0.00766283524904215	0	0.00383141762452107	0	0	0.0229885057471264	0	0	0	0	0
109	0	0	0	0	0	0	0	0	0	0	0.206896551724138	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0268199233716475	0	0.172413793103448	0	0.00383141762452107	0	0	0	0	0
110	0	0	0	0	0	0	0	0	0	0	0.114942528735632	0.00766283524904215	0	0	0	0	0	0	0	0	0	0	0	0.00383141762452107	0	0	0	0.00383141762452107	0.00383141762452107	0.0727969348659004	0	0	0	0	0	0	0.00383141762452107
